Col,Row,Name,Size,atmo roll,Atmosphere,Temperature,Hydro air mod,Hydro temp mod,Hyrdo roll,Hydrographics,Population,Gov roll,Government,Law roll,Law,Starport roll,Starport,Tech,Portdm,sizdm,atmodm,hydrodm,popdm,govdm,Rand,Bases,Trade Codes,Travel Code,Contraband,Notes,Links
01,01,Freeport,0,,0,Swings,-4,,2,0,6,-3,3,-4,-1,-5,X,1,-4,2,1,1,,,1,Gas Giant,,,,"Practically lawless habitat, ruled by whichever crime boss has the most influence at the time. Tradition demands completely non-violent solutions to conflicts, oddly.",
01,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,03,Westfall,7,0,7,Temperate,,,-1,6,8,2,10,1,11,-1,C,5,2,,,,,,3,"Gas Giant, Scout",,,,Ruled by popular dictator; Scout Service are interested in exotic plants and animals found in world's jungles. Hampered by the fact that anagathics are taboo,
01,04,Rust,5,2,7,Temperate,,,-3,2,3,2,5,-2,3,2,D,7,,,,,1,,6,Gas Giant,,,,Small desert colony primarily operates by salvaging tech and information from ancient ruins; Those with technical skills have the most power. Duels and trials by combat common,
01,05,Footfall,0,,0,Swings,-4,,0,0,4,5,9,-4,5,1,D,11,,2,1,1,1,,6,"Gas Giant, Scout",,,,Subsector Scout HQ; regularly sends expeditions to the western subsector. People who don't look like spacers tend to be mocked.,
01,06,Romanus,5,4,9,Hot,,-2,-1,2,4,-2,2,-1,1,2,D,2,,,,,1,,1,"Gas Giant, Scout",,,,"Population somehow modified to live in hostile conditions, in spite of local TL being Renaissance-era. Scout Service studies ongoing. Technological discoveries surprisingly rapid.",
01,07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,09,Oxide,5,-2,3,Temperate,,,0,5,4,1,5,2,7,0,E,7,,,1,,1,,5,Gas Giant,,,,Small colony primarily operates by salvaging tech and information from ancient ruins; Those with technical skills have the most power. Physical and combat prowess held in regard; those who look incapable of defending themselves are fair game.,
01,10,Eden,7,0,7,Hot,,-2,2,7,3,3,6,-4,2,2,D,4,,,,,1,,3,"Gas Giant, Scout",,,,Prison colony operated by Taranis Corporation. Children are raised by the corporation and often shipped offworld.,
02,01,Freerock,1,1,0,Swings,-4,,-1,0,5,0,5,-1,4,-1,E,7,,2,1,1,1,,2,Gas Giant,,,,"Tiny planetoid operated by prospectors from Freeport; Rather more regulated due to Imperial presence, but taboos against violence are still in force.",
02,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,04,-,1,1,0,Swings,-4,,2,0,1,2,3,-4,-1,3,E,7,,2,1,1,1,,2,"Gas Giant, Pirate",,,,,
02,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,06,-,3,-4,0,Swings,-4,,-1,0,1,1,2,3,5,-4,X,5,-4,1,1,1,1,,5,Gas Giant,,,,,
02,07,-,2,-2,0,Swings,-4,,0,0,3,1,4,1,5,1,E,6,,1,1,1,1,,2,Gas Giant,,,,,
02,08,-,4,0,4,Temperate,,,4,8,3,-3,0,3,3,-1,X,3,-4,1,,,1,1,4,Gas Giant,,,,,
02,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,02,-,7,2,9,Temperate,,,2,9,6,2,8,3,11,0,D,3,,,,1,,,2,"Gas Giant, Scout",,,,,
03,03,-,9,-1,8,Temperate,,,-3,6,6,0,6,-2,4,1,C,7,2,,,,,,5,"Gas Giant, Scout, Research",,,,,
03,04,-,3,-1,2,Temperate,,,2,5,4,1,5,0,5,1,D,5,,1,1,,1,1,1,Gas Giant,,,,,
03,05,-,1,,0,Swings,-4,,-1,0,2,0,2,-1,1,0,X,5,-4,2,1,1,1,,4,Gas Giant,,,,,
03,06,-,4,1,5,Cold,,,3,7,6,-3,3,-4,-1,-1,D,2,,1,,,,,1,"Gas Giant, Scout",,,,,
03,07,-,5,2,7,Temperate,,,-1,4,6,1,7,-1,6,-2,E,4,,,,,,2,2,Gas Giant,,,,,
03,08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,01,-,6,1,7,Hot,,-2,1,5,7,-5,2,4,6,3,B,5,4,,,,,,1,"Gas Giant, Scout, TAS",,,,,
04,02,-,2,1,3,Frozen,,,0,2,3,1,4,-2,2,-3,X,4,-4,1,1,,1,,5,,,,,,
04,03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,04,-,3,4,7,Temperate,,,1,4,2,4,6,0,6,-3,X,2,-4,1,,,1,,4,,,,,,
04,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,08,-,6,1,7,Temperate,,,1,7,7,4,11,-4,7,-5,X,2,-4,,,,,,6,Gas Giant,,,,,
04,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,02,-,5,-4,1,Swings,-4,,1,2,4,1,5,-2,3,-1,E,7,,,1,,1,1,4,Gas Giant,,,,,
05,03,-,8,1,9,Temperate,,,4,10,9,0,9,5,14,1,B,12,4,,,2,1,,5,"Gas Giant, Scout, TAS, Consulate",,,,,
05,04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,05,-,4,0,4,Temperate,,,4,8,3,-1,2,3,5,-1,X,4,-4,1,,,1,,6,Gas Giant,,,,,
05,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,09,-,6,2,8,Temperate,,,-2,4,10,-4,6,2,8,4,A,10,6,,,,2,,2,"Research, TAS, Consulate",,,,,
05,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06,01,-,4,1,5,Temperate,,,3,7,3,-1,2,1,3,-1,X,-1,-4,1,,,1,,1,Gas Giant,,,,,
06,02,-,6,1,7,Temperate,,,-1,5,5,-4,1,2,3,1,D,7,,,,,1,,6,"Gas Giant, Scout",,,,,
06,03,-,1,,0,Swings,-4,,0,0,6,0,6,4,10,0,D,5,,2,1,1,,,1,"Gas Giant, Scout",,,,,
06,04,-,4,4,8,Temperate,,,-2,2,7,-1,6,-4,2,1,C,9,2,1,,,,,6,Gas Giant,,,,,
06,05,-,5,1,6,Hot,,-2,-1,2,3,-4,0,-1,-1,0,E,3,,,,,1,1,1,,,,,,
06,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06,07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06,08,-,1,,0,Swings,-4,,0,0,3,4,7,0,7,2,D,9,,2,1,1,1,2,2,Gas Giant,,,,,
06,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,04,-,8,-1,7,Temperate,,,0,8,4,-3,1,4,5,-1,E,7,,,,,1,,6,Gas Giant,,,,,
07,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08,01,-,4,-1,3,Frozen,,,2,6,2,1,3,-3,0,-3,X,7,,1,1,,1,,4,Gas Giant,,,,,
08,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08,03,Lagoon,8,-2,6,Temperate,,,0,8,8,2,10,1,11,3,A,13,6,,,1,,,6,"Gas Giant, Navy, Research, TAS, Consulate",,,,"Subsector capital, ruled by exceptionally popular governor; Entire world consists of beautiful islands in a cobalt ocean. The locals are obsessed with looking faaabulous.",
08,04,-,2,-1,1,Swings,-4,,-1,0,3,0,3,-3,0,1,E,5,,1,1,1,1,,1,Gas Giant,,,,,
08,05,-,4,1,5,Cold,,,-1,3,4,1,5,-2,3,2,D,4,,1,,,1,1,1,"Gas Giant, Scout",,,,,
08,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08,07,-,3,-1,2,Temperate,,,5,8,0,0,0,0,0,-4,X,3,-4,1,1,,,1,4,Gas Giant,,,,,
08,08,-,4,0,4,Cold,,,5,9,4,0,4,2,6,-1,E,7,,1,,1,1,,4,Gas Giant,,,,,
08,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08,10,-,7,3,10,Temperate,-4,,-1,2,6,0,6,-1,5,-1,D,3,,,1,,,,2,Scout,,,,,